,album,album_id,artist,artist_id,duration_ms,id,name,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
35,Cuerpo en Venta,2JRundp5dldujo6pVchZco,Noriel,3RtNN1VnooWEn3KQk03DUL,254413,2B94bbI1a4LyBpK1439oP7,Cuerpo en Venta,84,0.161,0.696,0.601,0.0,11,0.0974,-5.749,1,0.302,91.924,0.408
36,La Boca (Remix),5LiT3OZKgkgEeInFxUEObJ,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,188467,2EEmzqzM70CybVspgM7YRT,La Boca - Remix,86,0.236,0.691,0.773,0.0,11,0.329,-3.812,0,0.0355,92.992,0.85
37,A Solas Remix,4kkZsCc8FiqMmq1sLBk6Na,Lunay,47MpMsUfWtgyIIBEFOr4FE,273198,3T5QSIgoaPIh07SwixRDp7,A Solas - Remix,50,0.657,0.618,0.743,5.95e-06,6,0.143,-2.576,0,0.141,180.021,0.589
38,Guayo,7wGdslyqdVvqMV3nPAL6uN,Zion & Lennox,21451j1KhjAiaYKflxBjr1,222301,4MR1AZhe1p0zTuH2HGhX9L,Guayo,78,0.233,0.774,0.774,7.76e-05,9,0.138,-4.19,1,0.0516,95.998,0.489
39,SIN TI,5kON9VF7sNvblMc1ne37sz,Young Cister,0Yg29FX1M4ayqjXs0ttZFq,200005,4lpdQrp4w3n5NLGD71nzZY,SIN TI,67,0.296,0.605,0.815,0.000391,10,0.172,-3.901,0,0.0669,169.906,0.555
40,Mírame,3YLXKSgU5SrzzkBbwzBQC2,Nio Garcia,5hdhHgpxyniooUiQVaPxQ0,377580,53uKGbcMjEc2gIWbfmvpdS,Mírame - Remix,81,0.119,0.74,0.83,1.32e-05,1,0.243,-3.243,1,0.153,176.054,0.78
41,Solita,3oqfGDmRhdF3YaNGiAH0MH,Sech,77ziqFxp5gaInVrF2lj4ht,219520,6Bc48Fgqgb6j4K6JdkZTNk,Solita,29,0.159,0.679,0.831,1.1e-06,2,0.097,-1.866,1,0.109,88.792,0.88
42,Cúrame,0BqAMr6G5Ag5xUNxxvmwpm,Prince Royce,3MHaV05u0io8fQbZ2XPtlC,203922,6rXxAohZzTDsP5KT3IDFIU,Cúrame,81,0.463,0.758,0.629,1.8e-06,10,0.113,-5.579,1,0.0852,97.006,0.575
43,Te Robaré,4ykGcrqJO8PcTePuNOFMxa,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,201818,6v0lAdFF4haL8xjBIUjtOw,Te Robaré,88,0.241,0.673,0.752,4.51e-05,2,0.0813,-3.572,0,0.0561,175.997,0.797
44,Una Vida Para Recordar,2AbOpXfmqnsknVyRE2UvAE,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,215086,7pxL0DzPpCjjcdfQccvnus,Una Vida Para Recordar,82,0.0746,0.703,0.776,0.0,7,0.123,-3.075,1,0.2,182.136,0.483
45,La Cobra,0d1Z4d8Jh1YZv6FV6BoX9S,j mena,6iYRN5eaz8LSxvwkhmwkRj,190573,1GUxtL2cLMXrtkBgjDevOp,Quien Empezó,61,0.025,0.777,0.549,0.000855,11,0.165,-3.477,0,0.16,175.993,0.423
46,Climaxxx,6stPNzjz40FWTiwlOR98Lp,Dalex,0KPX4Ucy9dk82uj4GpKesn,286506,7anSoGdgtmJTAPZBzcPhO6,Cuaderno,87,0.524,0.681,0.648,0.0,1,0.104,-5.021,0,0.38,172.019,0.687
47,OASIS,6ylFfzx32ICw4L1A7YWNLN,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,277106,7hynhxDoDpgMIV12JuVtNa,UN PESO,80,0.125,0.627,0.675,0.0,5,0.0784,-7.125,0,0.213,79.31,0.961
48,Piensan,48fPbdnqQWvarAivudCrqz,Myke Towers,7iK8PXO48WeuP03g8YR51W,173451,0i9oiUkWOgvtnjkr0fa3XN,Piensan,79,0.538,0.677,0.722,0.0,2,0.11,-4.443,0,0.0626,172.0,0.786
49,OASIS,6ylFfzx32ICw4L1A7YWNLN,J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,242573,0fea68AdmYNygeTGI4RC18,LA CANCIÓN,94,0.152,0.754,0.646,1.85e-05,7,0.108,-5.795,1,0.317,176.089,0.429
50,No Te Debí Besar,1VIVJSQidZ6nddSJoEEYt7,C. Tangana,5TYxZTjIPqKM8K8NuP9woO,182815,1KdwnsWOvhM53vezy5ROuf,No Te Debí Besar,82,0.125,0.672,0.684,0.0261,9,0.183,-5.682,0,0.316,75.233,0.62
51,Diavla,6eAAnlABuk7DZP6nVAMCJv,Chris Viz,40jZHpxIT7SOkZF9YrxGYq,265940,1KfrcxnOLyDhd3p4hGrhVe,Diavla,82,0.175,0.84,0.617,1.81e-05,5,0.202,-5.2,1,0.0698,100.001,0.659
52,Soltera (Remix),2m9Vuc9Q19qhSm6RQmBgsR,Lunay,47MpMsUfWtgyIIBEFOr4FE,266086,1c0hsvHLELX6y8qymnpLKL,Soltera - Remix,92,0.361,0.795,0.783,0.0,5,0.437,-4.271,1,0.0432,92.016,0.8
53,Que Mas Pues (Remix),5bad2QvDKLifbAK9O75U8Y,Sech,77ziqFxp5gaInVrF2lj4ht,305962,1k1CJlU1eAEpAbNK0TVeKD,Que Mas Pues - Remix,29,0.121,0.648,0.661,2.33e-06,11,0.12,-5.027,1,0.195,113.363,0.813
54,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]",71uU1JDWZ61OMDtW8h1Kp8,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,258600,1ndyl3wJCFs872XZ3ztPk6,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",83,0.0451,0.743,0.709,5.18e-06,3,0.0809,-3.922,0,0.0879,170.001,0.831
55,Bellaquita,3RWeME5ryDw9wxO99OoDgP,Dalex,0KPX4Ucy9dk82uj4GpKesn,204786,1tpbAGsGpZee5jDHMcLrUJ,Bellaquita,81,0.09,0.584,0.698,6.87e-05,8,0.171,-3.961,1,0.106,166.047,0.765
56,Callaita,06S3Qjh4QWLtn6c7CVhYh7,Bad Bunny,4q3ewBCX7sLwd24euuV69X,250533,2TH65lNHgvLxCKXM3apjxI,Callaita,95,0.6,0.61,0.624,2.12e-06,2,0.243,-4.773,1,0.309,176.169,0.244
57,Atrévete,06HFdHnekZil7Rl5WdqAiK,Nicky Jam,1SupJlEpv7RS2tPNRaHViT,198320,3KekO5WUfJsh7kYU9o2w50,Atrévete,86,0.311,0.552,0.675,0.0,11,0.119,-3.824,1,0.297,183.785,0.586
58,B11 (feat. Myke Towers),3dwf8z3LfHFTlAHiyrcGzb,Rvssian,1fctva4kpRbg2k3v7kwRuS,251929,4o1DxRjMCHDwBiOKv88rOl,B11 (feat. Myke Towers),75,0.0672,0.759,0.717,0.000455,0,0.131,-5.014,1,0.115,99.946,0.195
59,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",28561uZztshyZSVG6ElL62,Dimelo Flow,3fZk3Gm5dN5v5yfYMQ04Bx,233112,684EjRHwNsZQ9hCQxL4NYL,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",86,0.113,0.747,0.647,0.0,9,0.112,-3.234,1,0.0737,87.988,0.478
60,Si Se da Remix,75Y4sJ1vwZfEivbsKPzAx6,Myke Towers,7iK8PXO48WeuP03g8YR51W,332240,6K5BsR04ijf3FHNzjbaagD,Si Se Da - Remix,88,0.441,0.817,0.672,0.0,11,0.13,-5.612,0,0.299,93.999,0.774
61,Si Te Vas,2S6p0g6YzG3609Ty45i5Cq,Sech,77ziqFxp5gaInVrF2lj4ht,204906,6Y4PDQv4XjYjHLeLmvyOt0,Si Te Vas,77,0.0934,0.732,0.644,4.54e-06,0,0.143,-4.124,1,0.132,174.1,0.554
62,Fantasias,1Flcx9eDuv7pTGM9nJBmGL,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,199711,6mAN61JH0dzyZpWslS11jy,Fantasias,82,0.143,0.879,0.703,0.0,1,0.0569,-4.219,1,0.0701,94.004,0.788
63,11:11,3YIUNL7qFE8NP3X3zaYSND,Maluma,1r4hJ1h58CWwUQe3MxPuau,175733,7KbF6AdprOXEEHlsq11Z6d,11 PM,91,0.217,0.777,0.712,0.0,10,0.091,-4.84,1,0.277,95.692,0.68
64,Si Supieras,4lmKt00bHLEeqJRTlNOxXS,Daddy Yankee,4VMYDCV2IEDYJArk749S6m,241880,7MRU4vOkywuhZ9kbFiPuiu,Si Supieras,86,0.291,0.691,0.894,0.0,9,0.104,-1.681,0,0.115,184.019,0.623
65,Velitas,12jwb6dkXYHWYg2YXvNCuA,Darell,1TtXnWcUs0FCkaZDPGYHdf,225542,7q3NthaBqFI6s0WnAlnIvq,Velitas,83,0.225,0.819,0.596,1.19e-06,2,0.138,-7.009,1,0.318,165.951,0.622
66,No Me Conoce (Remix),2t2aNgqXTXuCh9fqT05g9U,Jhay Cortez,0EFisYRi20PTADoJrifHrz,307546,7rknFhrVDyxzTJkPSf7LoW,No Me Conoce - Remix,89,0.144,0.794,0.79,0.0,10,0.0893,-3.855,0,0.0599,91.984,0.577
67,Adicto (with Anuel AA & Ozuna),7nqA49hzXJWPH4cnM8nk6x,Tainy,0GM7qgcRCORpGnfcN2tCiB,270740,3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),91,0.017,0.734,0.836,1.64e-05,10,0.179,-4.803,0,0.0735,80.002,0.623
68,Quizás,7433PD4HwKHe3Re0B4KGUB,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,216066,4AjWbAwRpxk2worpjNH5CS,Quizás,83,0.0258,0.727,0.815,0.0,3,0.231,-2.454,1,0.153,176.075,0.677
69,Call It Dreaming,05I7y2yV3DTJWf0VNwiVjW,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,231760,0iWUW8UNkmyUa8Aa6anow6,Call It Dreaming,67,0.61,0.519,0.515,5.66e-05,5,0.107,-9.448,1,0.031,80.329,0.714
70,My Head Is An Animal,6uD3oJCWT1gtlSCg5lDiNF,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,278373,1hxq7kWQnwdhxgpEugBMGk,Dirty Paws,59,0.128,0.367,0.663,0.0269,3,0.0552,-6.969,1,0.0349,111.63,0.177
71,Spotify Singles,774yLThHwXXqrrH2bgF912,Mandolin Orange,675tsBPpaZtqyiBwEf3ZEP,211688,2d7lM2tUbVZbfOvmJFn4pw,Echo - Recorded at Spotify Studios NYC,26,0.958,0.512,0.368,0.0157,7,0.0613,-12.328,1,0.0425,181.676,0.612
72,Little Neon Limelight,4DL8KCLfnDpUQRyDR5dKvt,Houndmouth,7EGwUS3c5dXduO4sMyLWC5,239880,2kG5litgxXvx6ZRgwO1v7W,Sedona,68,0.0372,0.396,0.677,0.000137,3,0.112,-7.513,1,0.0354,135.177,0.249
73,Golden (Acoustic),1UNOe4qTfiSoUNVtFKQ5br,Becca Mancari,5n9jfCRA7AFY1JfYc5ZYK5,307312,3tsrOkDmaJg60XJMkEmYpp,Golden (Acoustic),51,0.91,0.359,0.17,0.000238,4,0.11,-10.915,1,0.0308,137.062,0.178
74,Before You,3Cm5kXIKNv7VmgvYcotCQC,Fortunate Ones,69sHd7jjEkbKxn91qUB60L,167164,60GSDg8mVq5lIwBdQ8Fdgv,Before You,43,0.765,0.505,0.252,0.0,9,0.0829,-10.169,1,0.0321,80.83,0.393
75,I'll Keep You,27XjdLrwcrDDrlBmVHook8,Robby Hecht,0ZDm55WIaMpvEkX8cY1AAk,157174,753h0atsE418iQyz7Jbtci,I'll Keep You,40,0.934,0.511,0.145,2.64e-06,10,0.123,-9.827,1,0.0335,128.138,0.547
76,Uh Huh (Acoustic),2dG0MnXqb6LZR5Nz7rFnff,Jade Bird,7D8LuVnlyu91ndcPe70j7S,171970,7lqJKQZ3YmtS2fsELnpNk3,Uh Huh - Acoustic,9,0.599,0.368,0.441,0.0,4,0.145,-6.656,1,0.0457,192.461,0.297
77,Dream Your Life Away (Special Edition),5S9b8euumqMhQbMk0zzQdH,Vance Joy,10exVja0key0uqUkk6LJRT,223640,29jtZGdgpE2lWm2mkIt6HS,Mess Is Mine,69,0.047,0.595,0.723,0.0286,7,0.0995,-8.256,1,0.0349,108.043,0.272
78,NUDES,4CJOeZrzjHBiLXEusekD5y,Lucius,1WrqUPWlHN5FXCRcQgrkas,235871,2aU77iuoOElIJyXl0YoI9O,Right Down The Line,51,0.822,0.802,0.354,2.57e-06,1,0.114,-8.091,0,0.034,119.972,0.418
79,Sigh No More,7GiLJfRPHARQrRJf01P2Tt,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,217986,3pLTOP0G0etiWUknFoRpsr,The Cave,21,0.0606,0.576,0.486,0.000143,4,0.093,-9.364,1,0.0406,141.951,0.337
80,Tides of a Teardrop,3Z2WGCFNGlAJgiyG2tOkjs,Mandolin Orange,675tsBPpaZtqyiBwEf3ZEP,245653,5yUfBfsoFd1PzQHrkWVTdV,The Wolves,21,0.859,0.539,0.34,0.0349,2,0.129,-14.21,1,0.0373,156.662,0.352
81,Bon Iver,1JlvIsP2f6ckoa62aN7kLn,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,336613,4fbvXwMTXPWaFyaMWUm9CR,Holocene,70,0.943,0.375,0.304,0.303,1,0.126,-14.52,1,0.0302,147.989,0.147
82,Thin,7z3uh23KJCyppUMkYwiHLn,Lowland Hum,37YxyxKbCL7as3bH2adwQE,159102,7f34NzgqC100aAxrtwurEi,Vedauwoo,56,0.891,0.643,0.213,0.00138,3,0.211,-15.584,1,0.0324,137.709,0.12
83,Hozier,04E0aLUdCHnhnnYrDDvcHq,Hozier,2FXC3k01G6Gw61bmprjgqS,229720,4Vc3bzFxXdrABa2DxgyCMT,Work Song,13,0.749,0.531,0.363,0.0,10,0.112,-7.672,1,0.0608,121.412,0.259
84,See You Around,5CE2xIBgva5wYBhfMbluQW,I'm With Her,3oXddLOOjkoUuC2sX1RMdr,179280,32lWsea1J8tfeqvmRAX1Av,Crescent City,41,0.937,0.542,0.136,6.92e-05,1,0.11,-14.797,0,0.0348,105.503,0.37
85,"No Rain, No Rose",2clhqrLkiHjHuFFNbaKtiE,John Craigie,7ytgyYmtUPfxXHsXEvgObK,313078,27ytYULTu6QSZBhGaOKq9i,I Am California,54,0.236,0.455,0.172,0.0013,3,0.102,-10.265,1,0.0307,118.161,0.189
86,Hollow (Acoustic),1o5nl7CllRMd5Zx4kwlxWR,Belle Mt,6DewGkgNz0j4pO3T2ZMUHS,236618,1GIBQJItFW5tFPrilr6M6o,Hollow (Acoustic),60,0.822,0.499,0.229,4.59e-06,11,0.0914,-9.642,1,0.0361,178.461,0.239
87,Spotify Singles,4jnG99bP9dsXWi49WeEKIr,Henry Jamison,2XdtmipGVPmA62ptDgX8QC,195850,2eIYmspGt58UeXPNUsp1oW,Real Peach - Recorded at Spotify Studios NYC,53,0.901,0.379,0.194,1.19e-05,9,0.139,-12.644,1,0.0438,170.097,0.436
88,My Dreams Have All Come True,3AJw8vTaNDueiiJ85duVxY,John Paul White,1yDI9pWnlrJmi9kZn3gkCb,264407,2s1c8h4P4u1GxzNQFws648,My Dreams Have All Come True,21,0.459,0.519,0.461,6.72e-06,10,0.0906,-5.719,1,0.0261,111.982,0.208
89,Tee Shirt,30xBAnEjl3nSDzp0qoiBUD,Birdy,2WX2uTcsvV5OnS0inACecP,159506,3C5in0EVdoGepp5bA6lhlE,Tee Shirt - Soundtrack Version,63,0.837,0.684,0.341,2.69e-05,9,0.0883,-9.497,1,0.0272,75.948,0.557
90,Be My Husband,2Gq96YRzLTK7rqDVigJQ9y,I'm With Her,3oXddLOOjkoUuC2sX1RMdr,193960,3mDIyXDpODxsvDkl9hjd3F,Be My Husband,41,0.629,0.866,0.193,0.0,1,0.0774,-11.041,1,0.188,80.053,0.329
91,Tidal Wave (Acoustic),15UfWfkGQef7EcPBEWqUss,Old Sea Brigade,6vUNwmljZAcn7tNtUoxG45,155050,4Q2RLLdrPTpH4wlyfu84lB,Tidal Wave - Acoustic,6,0.935,0.646,0.288,0.0012,4,0.16,-15.797,1,0.032,106.927,0.337
92,Cleopatra (Deluxe),5fY8mYgYGkyaJ9XvVOzVQA,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,211851,4uXDWsoGZXd39QP47NkGm5,Sleep On The Floor,54,0.249,0.389,0.431,0.0,7,0.13,-8.061,1,0.0344,142.14,0.275
93,Tell That Devil (Acoustic Version),3bfgpYxAK5FyYzzM8vYu8Y,Jill Andrews,35VpsbV6V2NdfTeNZEbKfc,185624,5lLFQyUsdHB6dkg5UWjBCP,Tell That Devil (Acoustic Version),40,0.939,0.414,0.12,6.75e-06,9,0.107,-10.898,1,0.0312,146.274,0.15
94,The Spirit Moves,77UiJMD9OVYj2YXr2gO9L5,Langhorne Slim,099toTcKJoywTosZr2hHjy,161906,0gKiONJeEtwb3hps4sUgyn,Changes,62,0.891,0.668,0.367,0.00521,11,0.103,-11.002,1,0.0285,110.21,0.342
95,Location 13,08OPI92C54inxiB6kCUqij,Dispatch,6v4jPZO3UIDNJIgdxRxtr9,255191,1LcqPWR4aflkhqC0HanSWg,Letter to Lady J,8,0.218,0.515,0.743,1.05e-05,4,0.517,-6.431,1,0.0512,132.038,0.32
96,Like I Used To (Deluxe Edition),6ZKC2f7C1xnBYJAoRLBha3,Lucy Rose,2uvY5pgdD9t1CZ5zMNw1rl,233013,1ODA4mZMaoBzT1TbPBW8B1,Shiver,53,0.715,0.423,0.183,4.25e-05,9,0.104,-13.517,1,0.0344,122.341,0.142
97,Cold Water Songs,0oc5delkHWpr2io0YAzb6J,Isobel Anderson,1tUN2f2byOej4LZdDq1UO9,138051,3QWZ2jViafoN9OBHI7vQoI,Feathers,37,0.929,0.521,0.194,0.0,2,0.0931,-14.412,1,0.0457,115.392,0.324
